BeginTime: 11:13:16
2024-09-17 11:13:23 [INFO] [live_tarding_data_simulator.cpp:172 Init] Order: 803210
2024-09-17 11:13:23 [INFO] [live_tarding_data_simulator.cpp:173 Init] Transaction: 766489
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 0(00:00:00), transaction:[instrumentId:SZ127080, updateTimeSpan:1687137900000000(9:25:0  0), refUpdateTimeSpan:1687137900915833(9:25:0 915833), orderPrice:169.501000, orderVolume:10, isBuy:1, askOrderID:22824, bidOrderID:30837, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 33900(09:25:00), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138200020000(9:30:0  20), refUpdateTimeSpan:1687138200106510(9:30:0 106510), orderPrice:0.000000, orderVolume:150, isBuy:1, askOrderID:0, bidOrderID:31998, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 33903(09:25:03), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138200020000(9:30:0  20), refUpdateTimeSpan:1687138200106510(9:30:0 106510), orderPrice:0.000000, orderVolume:150, isBuy:1, askOrderID:0, bidOrderID:31998, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 33990(09:26:30), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138200020000(9:30:0  20), refUpdateTimeSpan:1687138200106510(9:30:0 106510), orderPrice:0.000000, orderVolume:150, isBuy:1, askOrderID:0, bidOrderID:31998, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34050(09:27:30), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138200020000(9:30:0  20), refUpdateTimeSpan:1687138200106510(9:30:0 106510), orderPrice:0.000000, orderVolume:150, isBuy:1, askOrderID:0, bidOrderID:31998, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34110(09:28:30), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138200020000(9:30:0  20), refUpdateTimeSpan:1687138200106510(9:30:0 106510), orderPrice:0.000000, orderVolume:150, isBuy:1, askOrderID:0, bidOrderID:31998, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34170(09:29:30), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138203000000(9:30:3  0), refUpdateTimeSpan:1687138212834368(9:30:12 834368), orderPrice:169.798000, orderVolume:10, isBuy:0, askOrderID:49081, bidOrderID:40476, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34203(09:30:03), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138206000000(9:30:6  0), refUpdateTimeSpan:1687138216982012(9:30:16 982012), orderPrice:170.399000, orderVolume:10, isBuy:1, askOrderID:53464, bidOrderID:55489, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34206(09:30:06), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138209000000(9:30:9  0), refUpdateTimeSpan:1687138219067913(9:30:19 67913), orderPrice:169.990000, orderVolume:10, isBuy:1, askOrderID:56373, bidOrderID:58761, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34209(09:30:09), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138212050000(9:30:12  50), refUpdateTimeSpan:1687138220755140(9:30:20 755140), orderPrice:169.990000, orderVolume:30, isBuy:1, askOrderID:59471, bidOrderID:62205, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34212(09:30:12), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138215010000(9:30:15  10), refUpdateTimeSpan:1687138222354114(9:30:22 354114), orderPrice:0.000000, orderVolume:10, isBuy:1, askOrderID:0, bidOrderID:50849, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34215(09:30:15), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138218200000(9:30:18  200), refUpdateTimeSpan:1687138224841484(9:30:24 841484), orderPrice:170.170000, orderVolume:10, isBuy:0, askOrderID:71784, bidOrderID:71219, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34218(09:30:18), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138221020000(9:30:21  20), refUpdateTimeSpan:1687138226584792(9:30:26 584792), orderPrice:170.560000, orderVolume:10, isBuy:1, askOrderID:50947, bidOrderID:74929, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34221(09:30:21), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138224000000(9:30:24  0), refUpdateTimeSpan:1687138228209305(9:30:28 209305), orderPrice:170.828000, orderVolume:10, isBuy:1, askOrderID:77202, bidOrderID:78261, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34224(09:30:24), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138227000000(9:30:27  0), refUpdateTimeSpan:1687138229834826(9:30:29 834826), orderPrice:0.000000, orderVolume:30, isBuy:0, askOrderID:81422, bidOrderID:0, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34227(09:30:27), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138230000000(9:30:30  0), refUpdateTimeSpan:1687138231302161(9:30:31 302161), orderPrice:171.100000, orderVolume:10, isBuy:1, askOrderID:3690, bidOrderID:84833, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34230(09:30:30), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138233000000(9:30:33  0), refUpdateTimeSpan:1687138233024025(9:30:33 24025), orderPrice:171.111000, orderVolume:10, isBuy:1, askOrderID:88968, bidOrderID:89249, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34233(09:30:33), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138236000000(9:30:36  0), refUpdateTimeSpan:1687138236024174(9:30:36 24174), orderPrice:171.253000, orderVolume:10, isBuy:0, askOrderID:92330, bidOrderID:92301, isCancel:0], pendingTransactions: 0
